filename,Language,text_english
00026.wav,English,"When I was a young child summer break meant one thing above our aisles, a trip to my grandparents farmhouse in the countryside. The anticipation of this visit always filled me with excitement. As I knew it promised a break from the pressure of city life. The moment we cross the threshold, I was greeted by the freshly baked bread. My grandmother weighs her. A prawn tied around her waist. Would always have a plate of warm cookies waiting for me. My grandfather with his wedded hands and wide smile would take me on tours of the farm, introducing me to the various animals from the curious chicken picking at the ground to the gentle cows, grazing in the meadow. Days at the farm were filled with simple joys. I spent hours in the garden, helping my grandmother plant flowers and vegetables, learning the names of each plant. In the afternoon, we often get around the old tree in the yard, where my grandfather would tell us with stories of his Youngs, his voice carrying the weight of experience. Evenings were magical as the sky transformed into a cover of stars. My grandparents would set up a makeshift telescope. And together we explore the wonders of the cosmos and dreaming of distant words. Those summer days at my grandparents, farmhouse were a time of poor happiness. They taught me the value of hard work, the beauty of nature and the importance of farm family bonds. Even now as an adult, those memories continues to inspire and nourish my soul."
00027.wav,English,"In twenty, 2001. I visited my best friend Sarah in 2021. I visit my best friend Sarah in San Francisco. We hadn't seen such each other in nearly 2 years due to the pandemic. And finally meeting her again with ours incredible heart warming. She greeted me at the airport with a huge smile, and we couldn't stop talking the whole right back to her place. Sarah had moved into a small but cozy apartments, located on one of those steep hills. San Francisco is famous for from her window. We could see cable cars going by and it felt like something out of a way to remain with this. Sarah made it to her main mission to show me all her favorite places in the city. We went to Golden Gate park where we spent hours walking through gardens, watching paddle both on the lake, and even visiting the Japanese tea garden, the peacefulness and of the garden. This is carefully arranged rocks and flowing for floating. Streams feel like I always amaze the busy city life. We also took a walk across the Golden Gate Bridge. And it was open today. I remember the ovens. Txt at our jacks. As we took in the breath, breathtaking view of the bay, it feels thrill to be standing on such an echo, ethnic, landmark. When I had always only ever seen in pictures. On our last evening together, we hiked up Twin Peaks just in time for the sunset. The intel CT lay below us with the sun, painting the sky in beautiful shades of orange and pink. We sat there, wrapped in our jacks against the trail, talking about our dreams, and how much has changed in the past couple of years? It was a moment of reconnection. And I realized that despite the time and distance, our bond had reminded as strong as ever."
00028.wav,English,"In twenty, twenty, I went to Sydney to visit an old friend I hadn't seen in over 10 years. We had reconnected online during the pandemic and talked a lot about how much we missed hanging out in person. So, as soon as it was safe to travel, I booked a trip. When I arrived, my friend met me at the airport with a huge hug. It felt like no time had passed. We started the day with breakfast at the small cafe near her apartment. The food and coffee were great. And we couldn't stop laughing while sharing stories about our lives. After breakfast, we decided to take a ferry across Sydney harbor. The weather was perfect. And the view of the opera house was stunning. Seeing it in person was a completely different from the pictures I had seen. My friend suggested we take a guided tour, and it was such a good idea. The Guide shared lots of interesting facts, like how it took years to build, and how its design was chosen in a global competition. We even got here a story happening in one of the halls. The sound of the orchestra was amazing that evening, we were lucky enough to get tickets to a live show at the opera house. The mix of music and dance were incredible. And it was one of the both most the best performance i've ever seen after the show. We walked along the harbor, enjoying the city lights, and talking about old memories. It was a day full of happiness and unforgettable moments."
00029.wav,English,"A few years ago, I went on a trip to the United States, specifically to New York City. It was my first time visiting the city, and I was incredibly excited to explore the famous landmarks, experience the culture and see the city that I had only ever seen in the movies. 1:00 afternoon, I decided to take a walk around Central Park, the iconic park in the heart of Manhattan. The sun was shining and the park was bustling with people enjoying their day. As I walked down, one of the quarter pass near the edge of the park, I noticed something old. A dog sitting by the sidewalk, looking lost and confused. It was a medium sized dog with a scruffy coat and it seemed like it was waiting for someone. But no one was around. The dog looked up at me when sad eyes. And I could see that it was trying to figure out what to do next. I approached the dog slowly, hoping not to scare it. And to my surprise, it didn't run away or back at me. He said it wags its tail slightly, almost as if it was asking for help. I looked around, but the street was empty. And there was no signs of anyone looking for it. My first instinct was to help. So I bent down and gently patted the dog. It was shaking a little, but as soon as I started patting it, the dog seemed to calm down. A few minutes later, a woman appeared around the corner, calling the dog's name. The dog immediately perked up and ran to toward her. She looked incredibly relieved and explained that the dog had slipped out of her house. Earlier that the day and have been missing for hours. She thanked me profusely for staying with her dog and for keeping it calm until she arrived. I felt an overwhelming sense of worth and happiness. Knowing that I had played a small role in reuniting the dog with its owner, it's it was such a simple act of kindness, but it made me realize how much of the difference more decisions can make in someone's life. That day I walked away with a sense of fulfillment. Knowing that sometimes being kind and offering a little help can make the world a better place."
00030.wav,English,"In 1920, I traveled to Chicago for a work meeting. It was my first time visiting the United States. And I felt both excited and be scared. The flight was long, but I enjoyed looking out of the window and thinking about adventure ahead. When I I landed at Ohio airports, I took a taxi to my hotel, the tall buildings and the and the bus and the busy street made me feel like uh I had started into a movie on my second evening, I went for a walking along the Chicago river, walk. The lights from the tile buildings reflected on water. And it looked magic, magical. And as I was walking, I noticed a smell, Italian restaurants that didn't seem very busy. I feel so curious, I decided to go into and have dinner there. The food was delicious and the place felt very crazy. While I was eating, I saw an old man sitting alone at a table near the window. He was catching something in a notebook. I couldn't help but ask him about it. He smiled warmly and invited me to join him. He told me he used to be a a check, are cherished and had worked on some Chicago's famous building, like the wealth tower. He showed me some of his sketches, uh, which were amazing and shared stories about his life in the city. I ended up spare a spending hours taking to him, learning about czechos, history and his table when he made my trip so much more special. Although I didn't have time to explore everything in the city, the memories start with me. I hope I can return to Czech one day to create more memories like this."
00031.wav,English,"In 2018, I finally had the chance to visit Tokyo, Japan, a city I had dreamed of exploring for years. It was a week long trip and every day was filled with excitement and new experiences. From the moment I landed, I was amazed by how clean and orderly everything was. The trees were bustling with people. Yet there was a sense of calm and that made the field city feel so unique. On my first day, I visited shibu, ya crossing the world's busiest pedestrian intersection. It was incredible to seeing hundreds of people crossing the street from every direction at once. Yet everything moves so smoothly. I stood there for a while, just taking it all in and then joined the crowd to cross the street myself. We felt like I was part of a smooth movie scene. Uh, later I wandered through the nearby series filled my with the shops and restaurants and try some delicious street food, including takuyaki and flavor ice cream. Uh, the highlight of my trip is was visiting the ghibli museum in me, taka, as a fan of Stewart gibby films, like break it away and my neighbors also, it felt like spike stepping into the magical world. The museum was full of musical exhibits, like a life size catapults and favor a beautiful hand drawing sketches from the movies. There was even a small theater where I watched, I watched a short animated film, title exclusive to the museum. It was an unforgettable experience that made me appreciate the creativity behind those moves movies even more. One day, I took a train to asa Cosa to visit senso ji temple, one of the Tokyo's oldest and uh most famous temples. The main gate were the main gate with its giant red lantern was so impressive. I walked through the not come as a shopping street, lined with small shops, selling souvenirs and traditional snacks. I bought a little charm for good luck and try some freshly make. Thai yucky, a fish shaped cake filled with sweet red bean paste. Tokyo was everything I had hoped for and more the mix of modern sky crackers and traditional temples, the delicious food and the pride and friendly people made it a city like no other. When I left, I feel a little sad, but I knew I would come back one day to explore even more of what Tokyo had to offer."
00032.wav,English,"Last spring. I got a chance to visit Tokyo, Japan during the Cherry blossom season. I had always wanted to see the Cherry blossom. And it was even better than I imagined. I want to talk to you do a short break between senators just in turn, Florida long seems to be as their best when I stabbed out of the train station. I saw Cherry trees everywhere on the streets, in the parks and the lonely rivers. On the first day, I went to philosophers pass. It is a stone pass next to a small kernels. Cannot. Canada and both sides are lined with Cherry trees. The cosmos were in full blown, and some of the petals were falling into the water, making it looking. I walked slowly along the path, enjoying the view. There were many people there, some told me taking pictures, some just sitting under the trees, and even though it was crowded. Ok. It felt very peaceful. Everyone seemed happy just to be there. Enjoying the flowers. In the evening, I went to the another park. These had lit up the Cherry trees. And it looked magical. The biggest trees in the park was full of pale pink flowers and it's nice, made it same. Seem like something out of a dream. Many people were there. Something on rankings under walking slowly under the trees. And I walked under the growing blown sums are feeling like it was in a different world."
00033.wav,English,"Last year, I want I went on a tribe to the Singapore. I was excited to explore the city and the stars, things. My first stop was the famous center in Chinatown. Will I transfer variety of local dishes? I have the best, both of which incredible favorite, favorable and satisfying government to delivery with people from all works of life and enjoying their meals. I felt a sense of excitement and happiness following the unique tests is a and energy of police. Next day, I want a visit another city and known for AIDS, flower dome. Walking through the gardens. I was I missed by the design at the variety of plants. I felt a deep happy for the beauty and in our nation of the urban plants. Later, I meet local graduate who showed me around the neighborhoods of Singapore. He sharing stories about the city's past. And is. Thank you. Developments. I feel the marks of admission learning about the rich, cultural heritage and modern achievements. The the trip to Singapore was a wonderful blend of life designs and cultural exploration. And I left with many memories and happy of the world."
00034.wav,English,"Last year, I planned a trip to Paris to attend the opening of a renowned art gallery showcasing the work of my favorite artist. This was a once in a lifetime opportunity, and I had been preparing for months. I had carefully saved up, purchased tickets well in advance and planned every detail of the journey, the gallery was scheduled. You open on a Saturday evening and my flight was set for Friday morning to ensure I had plenty of time. On the day of the flight, everything started to go wrong. I woke up later than planned because I had stayed up packing the night before. I rushed through my morning routine, keeping breakfast, keeping breakfast and hurriedly called a taxi to the airport. Driver tried to navigate the morning traffic, but it seemed every road was congested. I nervously checked my watch every few minutes. My heart seeking as the minutes, take it by by the time we reached the airport, I had only 20 minutes left before take off. I sprinted to the checking counter only to be told that the gate had closed. And my flight had already begun boarding. I stood there in disbelief, watching the departure board as my flight status changed to departed. Disappointment was overwhelming. I had looked forward to this event for so long. Imagine myself walking through the gallery, surrounded by the works of an artist who had inspired me deeply. Missing the flight felt like I had LED the dream, slipped through my fingers, emotions tied, so tied to such an experience, makes me appreciate the importance of preparation and timing. It's a reminder to never take opportunities for granted."
00035.wav,Chinese,"Oh, I remember it was the summer vacation of 2023. Oh, I'm in my sophomore year, and my younger brother just finished the college entrance examination. So I plan to go to Fuzhou to visit him for a while. Because of the college entrance examination, I didn't refuse during the winter vacation and Chinese New Year because he has to review his exam subjects and prepare for the exam. So we can't disturb him either. Looking at it now, he did get a pretty good score in the college entrance examination. He was studying physics at Shanghai Jiao Tong University, and it was only during that summer vacation that he missed him very much. After all, it's been too long since we last met. When I went to his place to play, I played all the games that I didn't play in high school, such as League of Legends and Fearless Contract. We played games together in a double row and found them very interesting. Besides playing games, we will also go out and find some local specialties. I have checked everything about the famous Fish King Meat Banquet in Fuzhou, as well as things like aged noodles and noodles. Fuzhou's cuisine is also very interesting, but one of the more famous ones is called San Gang, which has a lot of snacks and local souvenirs. But my brother and I are both locals, so Yeah. Find some delicious food. And after playing for a while, I felt particularly happy. Ah, then we chat every night at one or two o'clock, chatting until one or two o'clock before going to bed. And now he is also studying in college, and I am also studying in college. Every time we meet, we only have to wait for some winter or summer vacation time, so I think that time was particularly happy."
00036.wav,English,"My sorry. Well, I will tell a story that happened recently. Just a week before I went to Tianjin, uh, to which is my best friend, which we have, which we have uh know each other since the since nearly 10 years ago, Tianjin, you know, is a very good city and is very famous for his the for the breakfast first uh culture of him. So I so, uh I'm very happy when I launched. I launched Tianjin at the first time because my friend come to uh take me, you know, probably take me. And so then we go to the uh the very famous place of Tianjin, the Tianjin eyes, just like the London eyes. Uh um II would say I feel a bit a little bit disappointed when I asked. I see the Tianjin eyes because it's far more smaller than the London eyes. And then, you know, it's not really shock when I see it on and on the internet. Uh, but then a I taste some very a very, very delicious, Tianjin. Breakfast. And like the du Jiang and something else is very delicious and I can make my mood feels better. E and and then my friend take me to his university university, uh, as you know, the the college student will always do that, take their a friend to their core university when I see their university is big, large and good. Um I speaking I don't feel something about that because it is they just AA normal university. I don't feel uh very if II don't feel uh uh it's very good or something. And we and then I have to go back to home because I just get get to uh holidays and one day we have and we have spent one day, so I have to go back to Beijing. When we left, I feel a bit a little bit disappointed and a little bit sad, because we have never we have we haven't met a long time before, and we just met nearly 1.5 day this time. But I do believe we can have more time to stay in the future. And when I see this story now, actually I don't feel the bad mood. I just feel happy. This is a very happy memory."
00037.wav,English,"And this is my story. A few years ago, my sister and I went to Hong Kong. And one of the highlights of our trip was visiting LAN kuifeng. A popular bar district district. It was our first time there. And we were excited to experience the vibrant nightlife that we had heart heard so much about. The narrow streets were filled with people. And the energy was electric music blurred from all directions and love. Yeah. Love for. And latter, he coached down the Alice. They that night, there was some kind of event were where people dressed up as different characters. We saw superheroes, cartoon signature, car cartoon figures, and even some historical characteristic characters walking around it felt like we were in a movie. We found a bar that uh, looked interesting and went in. The atmosphere was lively with people dancing, singing along to popular songs, and just having a good night. My sister and I ordered some drinks and drowned in the farm. We danced last and even made a few new friends who were also visited from other places."
00038.wav,Chinese,"Well, a few classmates and I drove to Changbai Mountain by road in the summer of 2017, so the journey was quite long. The scenery along the way was intertwined and varied, with trees, railways, grasslands, and occasionally a few small rivers. We talked and laughed along the way, so the journey was not particularly boring. The first thing we did when we arrived in Jilin Province was to taste the local iron pot stew. Although iron pot stew is more enjoyable to eat in winter, we still had to take a bite even after going there. In the summer, we were sweating profusely due to the stuffiness. The carefully prepared sauce and various side dishes were boiled and wrapped in a large pancake, and we still couldn't stop thinking about the rice. Later, we went to Changbai Mountain again because the cool weather there allowed us to briefly escape from Beijing's steam ovens. The scenery was beautiful, with lush forests and fresh air. We wandered between clouds and mist, feeling like we were in a fairyland. Then there were a few eagles hovering and flying over the mountain spring on the side, as if they had received a hug from nature. Afterwards, we went to Northeast barbecue, where grilled skewers were a major specialty. It is said that there are no Northeasterners who can't barbecue skewers. The meat and dishes are very sincere, and the fire control is just right. Unlike the thin and hard skewers made by street vendors, the skewers we ate can be described as fresh, fragrant, and delicious, with alternating fat and thin, steaming hot, and making a slight sizzling sound. I still drool when I think about it now. Then we also tried several local specialty dishes, such as the Three Fresh Pot Pork and the Slippery Pork Section. Although these dishes can be found in takeout from various places, we can only taste the most authentic flavor in Northeast China. When stir fried on the table, you can still bring out enamel coated pork belly, which looks like a dark plate of ground three fresh dishes. However, each dish is coated with a sauce that has been thickened, making it a perfect complement to the meal. The prices of the dishes there are relatively cheap, and there is no shortage of food. The bosses are very enthusiastic, and during the waiting period, they even give us homemade pickled vegetables or appetizers, and chat with us about our daily lives. In our communication with the boss, even our accents have become a bit Northeastern, indicating that Northeastern has a greater impact on people's accents. This trip was a journey of playfulness and relaxation while standing on Changbai Mountain, as well as the ultimate enjoyment brought by authentic Northeastern cuisine. It can be considered a journey of enjoyment or healing."
00039.wav,Chinese,"Well, I remember in the summer of 2023, I invited my family and I to come and play in Beijing because I am studying at Beijing University of Posts and Telecommunications. Well, what's different about this trip is that in the past, Beijing wasn't considered my hometown because I had to take the high-speed train every time to get here. But this time, what's different is that I'm studying here, so I don't need to take the high-speed train. We played for about a week. At first, we planned to join a group tour, but after thinking about it, we decided to choose a customized tour called Ctrip because we took care of many elderly people and children in the team. I remember it cost several tens of thousands of yuan to charter a car, which was quite expensive. However, the experience was not that good because some bad things happened during the group tour. For example, due to some traffic restrictions and vehicles, the car we booked couldn't arrive at our place in time. Also, the driver may have been a bit lazy and didn't want to pick us up. So although he gave him money, he didn't give it to us. We worked diligently, and in the end, Ctrip also provided us with some compensation. Well, you're asking me if I'm happy driving, right? Well, it's just so so, because although he compensated me, I still felt a little weak. Finally, we went to many places, including Peking University, the Great Wall, the Forbidden City, and many other places. Then I found that many places were not very good at grabbing tickets. I had to work hard to grab tickets. The place that impressed me most was Universal Studios. Well, Universal Studios was very interesting. There were many unique movie characters of Zhan Huan, and some other things in it. It was very interesting. Uh huh. Um, I remember on the last day, we went to the Forbidden City. Actually, I didn't think it was suitable to go there on the last day, but it was still the last day because you know it's difficult to grab tickets. So on the last day when I went to the Forbidden City, I remember there were still people wearing the emperor's clothes going in to take photos. I think this idea is quite novel. Uh huh. Overall, it was a pretty good trip, but there were also some bad things. Because you know Ctrip's drivers are a bit lazy, so this is my story."
00040.wav,English,"Back in 2020. I one to visit my a high school classmate ggr he was in Zhejiang University, so I124000 to visit him. We plan men, uh, we plan to visit West Lake together to for you to see the beautiful landscape. But because of an accident, the plan cancelled. My friend, DJ. Make his like her, heard it. Just the day it just yesterday before I went to Hangzhou. So we finally went to see a movie. It was a very happy time with him, because he was one of my best friends. So no matter what we do, we still have a good time. After that, we went to a restaurant to taste some famous dishes in Hangzhou. I can still remember many dishes. For example, like sisi Hu Hu tu. And beyond sunshine. Don't parole. And so on. That was very delicious. Until today, I still can't forget the flavor. I enjoy a very good time in Hangzhou, and I can't wait the next time. I the next time I went to Hangzhou, how can experience more interesting things there again."
00041.wav,English,"I met my girlfriend when we signed up in the same group for the first time. She was pretty but silent uh, in order to talk about how to do our work later, we exchanged our wechat IDs. After all, the works were done. I asked her to come out and hang around one day. I was excited when I sent that message. Even she said, yes, I still cannot believe that was real. Also, I was very nervous, because that was my first time walk around with a girl. We went around the school for a long time, and talked about a lot of things from study to dreaming future and so on. At the end of the day, I was so glad to hear that. She said she likes going around with me and expects the next time we come out and chat with each other. After our few times, hang out. I bought flowers for her and gave her. When she did not even know it. She was surprised. And then I declared my love for her. I asked whether she would like to be my girlfriend. And she said, yes. And until now, we had became together for almost650 days. Yes, that was a quite long time, but I think the time we became together will be longer, longer, and longer."
00042.wav,Chinese,"Ah, that was a day full of anticipation. Ah, I finally went to the United States to participate in an NBA game in person. Not only that, but I also got a chance to meet basketball superstar LeBron James. It all sounded like a dream, but when I stood in front of the Staples Center in Los Angeles, I couldn't believe my eyes. I have always been a loyal fan of James. Since the season he first entered the league, I have been following his games and witnessing his glorious journey from Cleveland to Miami, back to Cleveland, and finally joining the Los Angeles Lakers to win multiple championships. Being able to see him with my own eyes and even communicate with him face-to-face is an unparalleled honor for me. I arrived at the game venue early that day, and the atmosphere was filled with excitement and tension. The Lakers were about to face the Warriors, and fans gathered outside the door excitedly discussing game predictions and player performances. Finally, the staff took me into an area specially prepared for the media and VIP guests, where I could observe the team's preparation process up close. As I walked into the hallway of the players' locker room, I suddenly heard heavy footsteps. I turned around and saw the basketball superstar LeBron James, whom I had admired since childhood. He was wearing a Lakers training uniform and holding a bottle of water in his hand, walking towards the training ground. Although he looked very focused, when he saw me, he smiled slightly and seemed to be familiar with me. We started discussing basketball and also talked about his personal life. He told me that besides the challenges of the basketball court, family and social responsibility are the most important parts of his life. He mentioned that as an athlete, he sometimes faces tremendous pressure, but he always believes that with the support and unremitting efforts of the team, all difficulties can be overcome. I asked him, during your long career, when did you feel the most proud? James and Chen Slupanik smiled slightly and answered, 'My greatest pride is being able to bring back that championship trophy for my hometown Cleveland. It was the result of our team's hard work and the most unforgettable moment of my career.'. Winning the championship is not just for myself, but for the fans and people in my hometown who have always supported me. In just a short conversation, James left a deep impression on me. His humility and focus, as well as his love for basketball, far exceeded what I knew of him. He is not only a superstar on the court, but also full of water management and human touch off the court. When I said goodbye to her, I felt an indescribable sense of satisfaction. Being able to communicate face-to-face with great athletes like James was one of the most precious experiences of my life. Although I know that people like James may only meet once in their lives, his focused and passionate spirit will always inspire me to constantly pursue my dreams. The game began, and I sat on the sidelines, my eyes fixed on every moment on the ball. James' performance on the court was as stunning as usual, and in that moment off the court, his sincerity and humility deeply touched me. That's all thank you。"
00043.wav,English,"I went to a life house. Several weeks ago. And for meeting my, I know, sea. And that was the first time for and two SARS, a long horse in ak. So I cherished that opportunity and bought my ticket instantly. Am ni finally, right there, I saw a lot of sounds just like me. Ok. Day, they send as many little gifts for Free. And that was really are really happy for me. Uh, however. Hello. Cause of there are too many people. So I get going to the house. My place is a little bit far from the stage. But it doesn't affect my passion of listening to the beautiful, amazing music. What is more fantastic is I were selected as the lucky one to go onto the stage and take a shower with my head over this. I was really excited that time. And II couldn't certainly describe to more Dita. Ours is just so happy."
00044.wav,Chinese,"In 2012, I went to Xizang. When I landed in Lhasa, I was immediately attracted by the magnificent natural landscape there. On the first day, I visited the Potala Palace, which was magnificent and magnificent, leaving a deep impression on me. I also saw many Tibetan people wearing traditional costumes, and they were all very friendly. I listened to the guide's explanation in Potala Palace and learned about the history and religion of Xizang. In the afternoon, I went to Jokhang Temple, where there were many ancient Buddha statues and murals. I felt a deep sense of tranquility and awe, as if I were in another world. The next day, I went to Namtso Lake, where the water was very clear and surrounded by towering snow capped mountains. I took a walk by the lake, enjoying the fresh air and peaceful environment. I also rented a small boat and rowed to the center of the lake. The underwater scenery is very beautiful, and I can clearly see the fish and plants in the water. That evening, I stayed at a small hotel by the lake. The hotel owner told me that local monks would hold some special ceremonies here. I decided to attend the next day. On the third day, I went on a hiking trip, crossing the grasslands and rivers on the plateau. The scenery of the plateau was very spectacular, and I saw many wild animals, such as Tibetan antelopes and Tibetan wild donkeys. This trip made me feel relaxed and had a huge impact on my personal growth. Every time I think back on this trip, I feel very happy and grateful."
00045.wav,Chinese,"Last year, I had the opportunity to visit my long-time friend in Hangzhou, and this trip really made me look forward to it. Because Hangzhou is known for its beautiful scenery and rich culture of West Lake, after arriving there, we first went to the particularly famous West Lake scenic spot, where the weather is clear, the sunshine shines on the lake surface, and the lake water is sparkling, especially beautiful. We walked slowly along the trail by the lake, feeling the fresh air and leisurely atmosphere. The willow trees by the lake sway in the wind, as if beckoning to us, and the chirping of birds can be heard around. The entire environment is very peaceful. My friend and I talked a lot by the lake, talking about the changes in our lives over the years, and we felt very close. Then we also took a boat tour of West Lake, and the boat slowly moved forward on the surface of the lake. The distant Leifeng Pagoda gradually came into view, beautiful and moving like an ancient painting. At that moment, I really felt very relaxed, as if all my troubles had disappeared. After visiting the West Lake, my friend took me to taste Dongpo Braised Pork, a special food in Hangzhou. We ordered this dish in a time-honored restaurant. Dongpo Braised Pork melts in the mouth, is fat but not greasy, and tastes really delicious. My friend also told me the story behind this dish, which is said to have been created by Su Dongpo back then. It's really interesting. After dinner, we went to a tea house again. Longjing tea from Hangzhou is particularly famous. We ordered a few cups and sat in the tea house to savor it slowly. We watched the night view gradually descend outside the window, and the lights on the lake flickered, reflecting a peaceful scenery. That feeling was very warm and made me have a deeper love for Hangzhou. This trip not only allowed me to appreciate the beautiful scenery of Hangzhou, but also allowed me to have more communication with my friends, bringing us closer together. After returning home, I couldn't forget that wonderful time. Hangzhou is truly a place that is unforgettable."
00046.wav,English,"About 1 week ago, I took a trip to Hainan to see my best friend from high school, as someone hasn't seen for a really long time. Henan is such a wonderful face. The sun is shining brightly. The beaches are low and Sandy and the wind feels so good. I fell in love with the big blue sea right away. My classmates and I spent a lot of time working on the speech. The wind blowing on our face made us feel like we were back in high school, having so much fun together, we talked a lot about our past. We remembered school days, our dreams and being young. It felt like those days were just yesterday. We also tried Hainan special food. It was really tasty, and we had a great time eating it. But this trip was more than just about seeing Hainan's beautiful places. It was also a chance to reconnected with my high school friends. We encourage each other and make a promise to work hard for a better future. It feels so good to be with them again. Now i'll back home, but i'll always remember the trip. And the great time I had with my old friends. Thank you for your listening."
00047.wav,Chinese,"Two pigs. Two weeks ago, my friends and I went to the park to play. We took a walk in the park and there were many different species of trees on the roadside. We observed the differences in the shape of their leaves. Even。 Mmm, taking photos and searching online for some unfamiliar tree species. As we walked, we saw many cute little dogs, and one of them, a chubby Labrador, left a deep impression on me. An old man was holding him far away from us, and the dog was very excited as it wagged its tail at us. When it walked up to us, it pounced and rubbed its head and body against our legs. It was very fat and sat on my feet, and I could feel its weight. We also saw a very large golden retriever with a purple tongue that looked strange. It was so messy that we went to a pizza shop near the school and had a very delicious pizza. We were both very happy. Finally, we took the bus back to school together, and the day came to an end."
00048.wav,English,"One day, I suddenly received a message from a long lost classmates. Someone you held me in guitar is for many years. In the message, he said he have been working in another city for the past few years and had just returned to our hometown. He mentioned that he want to talk to me with about something. It had um, 2 years. Since we last saw each other and seeking back to our high school days, I could help but feel a bit emotional. Though I decided to meet up with him and catch up. We greet math at a quiet coffee. A place are ill too frequently. I arrived early thinking that since it has been so long, since we last match, he probably had a lot. After a while, I finally saw him walk into the coffin. He seemed to have hardly charged each. They will raise a bright and sunny smile. Once we sat down, he began talking about park. From travels, you matters to our lives. Now, gradually, the topic started to take a fringe term. He told me that he had made some investments over the years, admire some interesting people. Even imagine that he was now hiring some very completed business production. Listen to this. I was somehow indifferent, but didn't think much about it. However, as we looked at him speaking about his experience, I stand for strange sense of umbrella allergy. Looking back. He hasn't been the most natural person bugger throughout the conversation. I noticed that he often mentioned companions and the people I know nothing about. And his tongue become increasingly mysterious. Just when I was about to leave, he suddenly adjusted taking me to a place to show me his new project. We we we walked out of the coffin and right in front of the building, looked like AA batting factory. But it's completely sound that it was his coughing his office. I was puzzled. Why would an investor choose such a place via offerings? Even so, he experienced calm and taught me or true of salary, empty office? I started spell that some thing was off. But when I turned around, the health strain seemed unfamiliar. One, I love. He said to me, you're always welcome to come back. We still have a lot to care about until I left. I still couldn't decide if that night was real or not, especially when when his office looks."
00049.wav,English,"Last winter break. I made a special trip back to my hometown to visit my grandmother as a child. Going to her house was always the highlight of my year. Ceo would always make my favorite dish, filling the air with a a familiar aroma of home and her endless love. Now, as she has a get older, her mobility isn't what is used to be. But she still uh, insisted on cooking for me herself. I urged her to rest, but she just smiled and said, when you are here, I have the stress. Her words filled me with worms and bittersweet feeling. Her care and concern for me have always been so deep and thoughtful. During my our meal, she recalled stories from my childhood, especially the times when I have a climb onto the mountain to find snakes, my glorious explores, as she told, as she called them, shut up heartily. Uh, her eyes filled with affected affection and smelled. In that moment, I feel like I was back in those carefree days, enveloped in her Junior love. We are remembered, we laughed together and she also shared many family stories I have never heard before about the hardship of her younger year and how she she had raised the family. Hearing the stories I came to understand, not only um, her hardness, but also gained a new appreciation for her life. When it was time to leave, she stood at the door watching me for a long time. She gives um, filled with both attachment and worry. She slightly hinged uh, figure remind me of the passage of time and made me cherish her presence even more. Other way back, my heart was full of sorts of family. Realized that they are truly the warmest source of support. This visit helped me understand that the best gift we can give our family is our presence, are the resolved to spend more time with her treasury every moment we have together. Ok."
00050.wav,Chinese,"Well, on this year's National Day. Oh, I went to the National Centre for the Performing Arts to watch the Beijing Opera ""The Legend of the White Snake"". This time, the performance of ""The Legend of the White Snake"" has been adjusted based on the old script. The lyrics and melody have been modified, and more unique lighting and stage design have been added. More group performances and dances have been added to make it more like an opera. Well, this performance was attended by many famous actors and outstanding young actors, and the venue was packed with people. The atmosphere was also very lively. The actors' every move and gesture exudes a unique charm and beauty. Uh, the applause and cheers from the audience were also one after another. The entire theater is filled with a joyful atmosphere. Well, there was also a small accident during the process. In the fight scene of the water fight, the actor who played Bai Suzhen may have been too nervous. There was a small accident and she choked. Um. But I still feel a bit regretful about the whole performance, that is, I didn't hear my favorite song. Later, I checked and found out that the lyrics had been adjusted for this performance, so I adapted that part. It's also very regrettable that he gave up some of his previous performances, such as the last one, He Bo. I also hope to see a more complete and complete version of The Legend of the White Snake in the future, and I look forward to the next performance."
